region_id,region_name,crop,scenario,scenario_nrmse_mean,esm_variant_nrmse_mean,scenario_sign_agreement_mean,esm_variant_sign_agreement_mean
1,Northeast,wheat,NF,,,,
2,Southeast,wheat,NF,0.16751669138057018,0.13439601758546973,0.8142857142857143,0.8428571428571429
4,Midwest,wheat,NF,0.1769059424125035,0.15061876701247043,0.8714285714285714,0.8714285714285714
5,N. Great Plains,wheat,NF,0.27077784499526103,0.12774376010622146,1.0,1.0
6,S. Great Plains,wheat,NF,0.21168460424153576,0.10283217565684442,1.0,1.0
8,Northwest,wheat,NF,0.34872609180489283,0.18727210738060013,1.0,1.0
7,Southwest,wheat,NF,0.3311815846592557,0.2820697502183519,0.9857142857142858,0.9285714285714286
1,Northeast,corn,NF,0.16989283979282704,0.23300027524309436,0.8428571428571429,0.8142857142857143
2,Southeast,corn,NF,0.23065161965322983,0.24026136767458944,0.8714285714285714,0.7857142857142858
4,Midwest,corn,NF,0.2557547136981055,0.2737924868139829,0.7857142857142857,0.8142857142857143
5,N. Great Plains,corn,NF,0.18387847118633777,0.10713040371769073,1.0,1.0
6,S. Great Plains,corn,NF,0.2198366258937474,0.11511078275721173,0.8999999999999999,0.9285714285714286
8,Northwest,corn,NF,,,,
7,Southwest,corn,NF,,,,
1,Northeast,soybean,NF,0.14335205877434304,0.22639775145123314,0.8285714285714285,0.7428571428571429
2,Southeast,soybean,NF,0.1452744204908738,0.14540009392336323,0.9857142857142858,0.9857142857142858
4,Midwest,soybean,NF,0.1299474326219195,0.16799571312439848,0.9428571428571428,0.9428571428571428
5,N. Great Plains,soybean,NF,0.10544987223236077,0.10735686324559339,1.0,1.0
6,S. Great Plains,soybean,NF,0.11837669096870974,0.27466156528034946,0.9571428571428571,0.9857142857142858
8,Northwest,soybean,NF,,,,
7,Southwest,soybean,NF,,,,
